account id  balance name
2676715 8068 0 avi-biter
8455819 3047 3873 noam-balul
6553235 2927 4674 lopo-losham
6862989 1148 -1574 polo-shamlo
1630253 3915 3321 yoli-yolah
6154260 4051 -4246 meny-la
4862787 8630 -4000 maya-la
5642639 8465 -654 dpoli-gopli
5421187 8920 3429 nonim-shem
2101761 2785 2291 cipo-ditan
2686715 8168 0 ORNA-HAZNI
8478819 3247 32873 KLOM-SHOM
6956235 2327 46674 SHUM-KLUM
2862989 1448 -174 SARIT-SROTA
1631243 3515 321 AESH-KATCHAM
7124260 4651 -41246 dudu-parpar
3862797 8730 -4030 parpar-nehmad
5642689 8865 -674 rehov-sumsum
5422187 8920 3499 bli-sodot
2191761 2105 2241 darda-saba
